<SIL> <SIL> SIL
<UNK> <UNK> SPN
<eps> <eps> SIL
E E r r o r W o r d
a11 a11 a11
a24 a24 a24
a31 a31 a31
a55 a55 a55
ab2 ab2 ab2
ad2 ad2 ad2
ag2 ag2 ag2
ai24 ai24 ai24
ai31 ai31 ai31
am24 am24 am24
am31 am31 am31
am55 am55 am55
an31 an31 an31
ang11 ang11 ang11
ang24 ang24 ang24
ang55 ang55 ang55
au24 au24 au24
au31 au31 au31
au55 au55 au55
fan24 fan24 f an24
fan31 fan31 f an31
fan55 fan55 f an55
fang31 fang31 f ang31
fe31 fe31 f e31
fed5 fed5 f ed5
fen11 fen11 f en11
feu11 feu11 f eu11
fi11 fi11 f i11
fi24 fi24 f i24
fi31 fi31 f i31
fi55 fi55 f i55
fid5 fid5 f id5
fin55 fin55 f in55
fo11 fo11 f o11
fo31 fo31 f o31
fo55 fo55 f o55
foi24 foi24 f oi24
fon24 fon24 f on24
fon55 fon55 f on55
fong11 fong11 f ong11
fong24 fong24 f ong24
fong31 fong31 f ong31
fong55 fong55 f ong55
fu11 fu11 f u11
fu24 fu24 f u24
fu31 fu31 f u31
fu55 fu55 f u55
fud2 fud2 f ud2
fud5 fud5 f ud5
fug2 fug2 f ug2
fug5 fug5 f ug5
fun11 fun11 f un11
fun24 fun24 f un24
fun31 fun31 f un31
fun55 fun55 f un55
fung11 fung11 f ung11
fung24 fung24 f ung24
fung31 fung31 f ung31
fung55 fung55 f ung55
ga11 ga11 g a11
ga24 ga24 g a24
ga31 ga31 g a31
ga55 ga55 g a55
gab2 gab2 g ab2
gab5 gab5 g ab5
gad2 gad2 g ad2
gag2 gag2 g ag2
gai55 gai55 g ai55
gam24 gam24 g am24
gam31 gam31 g am31
gam55 gam55 g am55
gan24 gan24 g an24
gan31 gan31 g an31
gang24 gang24 g ang24
gang31 gang31 g ang31
gang55 gang55 g ang55
gau24 gau24 g au24
gau31 gau31 g au31
gau55 gau55 g au55
ge11 ge11 g e11
ge24 ge24 g e24
ge31 ge31 g e31
ge55 ge55 g e55
ged5 ged5 g ed5
gen55 gen55 g en55
gi11 gi11 g i11
gi24 gi24 g i24
gi31 gi31 g i31
gi55 gi55 g i55
gia24 gia24 g ia24
gia55 gia55 g ia55
giab2 giab2 g iab2
giab5 giab5 g iab5
giad2 giad2 g iad2
giag2 giag2 g iag2
giai24 giai24 g i24
giai31 giai31 g i31
giai55 giai55 g i55
giam24 giam24 g iam24
giam31 giam31 g iam31
gian24 gian24 g ian24
gian31 gian31 g ian31
gian55 gian55 g ian55
giang24 giang24 g iang24
giang31 giang31 g iang31
giang55 giang55 g iang55
giau24 giau24 g iau24
giau31 giau31 g iau31
giau55 giau55 g iau55
gib2 gib2 g ib2
gid2 gid2 g id2
gid5 gid5 g id5
gie11 gie11 g ie11
gie24 gie24 g ie24
gie55 gie55 g ie55
gieb5 gieb5 g ieb5
gied2 gied2 g ied2
giem11 giem11 g iem11
gien11 gien11 g ien11
gien24 gien24 g ien24
gien31 gien31 g ien31
gien55 gien55 g ien55
gieu24 gieu24 g ieu24
gieu31 gieu31 g ieu31
gieu55 gieu55 g ieu55
gim24 gim24 g im24
gim55 gim55 g im55
gin24 gin24 g in24
gin31 gin31 g in31
gin55 gin55 g in55
gio24 gio24 g io24
giog2 giog2 g iog2
giong24 giong24 g iong24
giu24 giu24 g iu24
giu31 giu31 g iu31
giu55 giu55 g iu55
giug2 giug2 g iug2
giug5 giug5 g iug5
giun24 giun24 g iun24
giung24 giung24 g iung24
giung31 giung31 g iung31
giung55 giung55 g iung55
go11 go11 g o11
go24 go24 g o24
go31 go31 g o31
go55 go55 g o55
god2 god2 g od2
gog2 gog2 g og2
gog5 gog5 g og5
goi24 goi24 g oi24
goi31 goi31 g oi31
goi55 goi55 g oi55
gon24 gon24 g on24
gon31 gon31 g on31
gon55 gon55 g on55
gong11 gong11 g ong11
gong24 gong24 g ong24
gong31 gong31 g ong31
gong55 gong55 g ong55
gu11 gu11 g u11
gu24 gu24 g u24
gu31 gu31 g u31
gu55 gu55 g u55
gua24 gua24 g ua24
gua31 gua31 g ua31
gua55 gua55 g ua55
guad2 guad2 g uad2
guag5 guag5 g uag5
guai24 guai24 g uai24
guai31 guai31 g uai31
guai55 guai55 g uai55
guan24 guan24 g uan24
guan55 guan55 g uan55
guang11 guang11 g uang11
guang24 guang24 g uang24
guang31 guang31 g uang31
gud2 gud2 g ud2
gued2 gued2 g ued2
gued5 gued5 g ued5
gug2 gug2 g ug2
gug5 gug5 g ug5
gui24 gui24 g ui24
gui31 gui31 g ui31
gui55 gui55 g ui55
gun31 gun31 g un31
gun55 gun55 g un55
gung11 gung11 g ung11
gung24 gung24 g ung24
gung55 gung55 g ung55
ha11 ha11 h a11
ha24 ha24 h a24
ha31 ha31 h a31
ha55 ha55 h a55
hab2 hab2 h ab2
hab5 hab5 h ab5
had2 had2 h ad2
had5 had5 h ad5
hag2 hag2 h ag2
hag5 hag5 h ag5
hai11 hai11 h ai11
hai31 hai31 h ai31
hai55 hai55 h ai55
ham11 ham11 h am11
ham24 ham24 h am24
ham55 ham55 h am55
han11 han11 h an11
han31 han31 h an31
han55 han55 h an55
hang11 hang11 h ang11
hang24 hang24 h ang24
hau11 hau11 h au11
hau24 hau24 h au24
hau31 hau31 h au31
hau55 hau55 h au55
he24 he24 h e24
he31 he31 h e31
he55 he55 h e55
heb5 heb5 h eb5
hed2 hed2 h ed2
hed5 hed5 h ed5
hem11 hem11 h em11
hem24 hem24 h em24
hem31 hem31 h em31
hem55 hem55 h em55
hen11 hen11 h en11
hen31 hen31 h en31
hen55 hen55 h en55
heu11 heu11 h eu11
heu24 heu24 h eu24
heu31 heu31 h eu31
heu55 heu55 h eu55
hi24 hi24 h i24
hi31 hi31 h i31
hi55 hi55 h i55
hia55 hia55 h ia55
hiab2 hiab2 h iab2
hiad2 hiad2 h iad2
hiad5 hiad5 h iad5
hiag2 hiag2 h iag2
hiam11 hiam11 h iam11
hiam24 hiam24 h iam24
hiam31 hiam31 h iam31
hian11 hian11 h ian11
hian24 hian24 h ian24
hian31 hian31 h ian31
hian55 hian55 h ian55
hiau31 hiau31 h iau31
hib2 hib2 h ib2
hien55 hien55 h ien55
hieu11 hieu11 h ieu11
hieu24 hieu24 h ieu24
hieu31 hieu31 h ieu31
hieu55 hieu55 h ieu55
him24 him24 h im24
him55 him55 h im55
hin11 hin11 h in11
hin24 hin24 h in24
hin31 hin31 h in31
hio24 hio24 h io24
hio55 hio55 h io55
hiog2 hiog2 h iog2
hiong24 hiong24 h iong24
hiong31 hiong31 h iong31
hiong55 hiong55 h iong55
hiu24 hiu24 h iu24
hiug2 hiug2 h iug2
hiun55 hiun55 h iun55
hiung11 hiung11 h iung11
hiung24 hiung24 h iung24
ho11 ho11 h o11
ho24 ho24 h o24
ho31 ho31 h o31
ho55 ho55 h o55
hod2 hod2 h od2
hog2 hog2 h og2
hog5 hog5 h og5
hoi31 hoi31 h oi31
hoi55 hoi55 h oi55
hon11 hon11 h on11
hon24 hon24 h on24
hon31 hon31 h on31
hon55 hon55 h on55
hong11 hong11 h ong11
hong24 hong24 h ong24
hong55 hong55 h ong55
i11 i11 i11
i24 i24 i24
i31 i31 i31
i55 i55 i55
ia11 ia11 ia11
ia24 ia24 ia24
ia31 ia31 ia31
ia55 ia55 ia55
iab2 iab2 iab2
iab5 iab5 iab5
iad2 iad2 iad2
iad5 iad5 iad5
iag5 iag5 iag5
iai24 iai24 i24
iam11 iam11 iam11
iam24 iam24 iam24
iam31 iam31 iam31
iam55 iam55 iam55
ian11 ian11 ian11
ian24 ian24 ian24
ian31 ian31 ian31
ian55 ian55 ian55
iang11 iang11 iang11
iang24 iang24 iang24
iang31 iang31 iang31
iau24 iau24 iau24
iau31 iau31 iau31
id2 id2 id2
id5 id5 id5
ie11 ie11 ie11
ie55 ie55 ie55
ied2 ied2 ied2
ien24 ien24 ien24
ieu11 ieu11 ieu11
ieu24 ieu24 ieu24
ieu31 ieu31 ieu31
ieu55 ieu55 ieu55
im24 im24 im24
im31 im31 im31
im55 im55 im55
in11 in11 in11
in24 in24 in24
in31 in31 in31
in55 in55 in55
io11 io11 io11
io24 io24 io24
io31 io31 io31
io55 io55 io55
iog2 iog2 iog2
iog5 iog5 iog5
iong11 iong11 iong11
iong24 iong24 iong24
iong55 iong55 iong55
iu11 iu11 iu11
iu24 iu24 iu24
iu55 iu55 iu55
iug2 iug2 iug2
iui55 iui55 iui55
iun11 iun11 iun11
iun31 iun31 iun31
iun55 iun55 iun55
iung11 iung11 iung11
iung24 iung24 iung24
iung31 iung31 iung31
iung55 iung55 iung55
ji11 ji11 j i11
ji31 ji31 j i31
ji55 ji55 j i55
jia31 jia31 j ia31
jia55 jia55 j ia55
jiab2 jiab2 j iab2
jiab5 jiab5 j iab5
jiag2 jiag2 j iag2
jiam24 jiam24 j iam24
jiam31 jiam31 j iam31
jiang24 jiang24 j iang24
jiang31 jiang31 j iang31
jiang55 jiang55 j iang55
jib5 jib5 j ib5
jid2 jid2 j id2
jid5 jid5 j id5
jied2 jied2 j ied2
jied5 jied5 j ied5
jien24 jien24 j ien24
jien31 jien31 j ien31
jien55 jien55 j ien55
jim24 jim24 j im24
jim55 jim55 j im55
jin24 jin24 j in24
jin31 jin31 j in31
jin55 jin55 j in55
jio11 jio11 j io11
jio24 jio24 j io24
jio31 jio31 j io31
jio55 jio55 j io55
jiod5 jiod5 j iod5
jiog2 jiog2 j iog2
jiog5 jiog5 j iog5
jiong24 jiong24 j iong24
jiong31 jiong31 j iong31
jiong55 jiong55 j iong55
jiu11 jiu11 j iu11
jiu24 jiu24 j iu24
jiu31 jiu31 j iu31
jiu55 jiu55 j iu55
jiug2 jiug2 j iug2
jiung24 jiung24 j iung24
jiung31 jiung31 j iung31
ka11 ka11 k a11
ka24 ka24 k a24
ka31 ka31 k a31
kab2 kab2 k ab2
kad2 kad2 k ad2
kag5 kag5 k ag5
kai24 kai24 k ai24
kam24 kam24 k am24
kam31 kam31 k am31
kam55 kam55 k am55
kang24 kang24 k ang24
kau24 kau24 k au24
kau31 kau31 k au31
kau55 kau55 k au55
ke55 ke55 k e55
keb2 keb2 k eb2
ked2 ked2 k ed2
ked5 ked5 k ed5
ki11 ki11 k i11
ki24 ki24 k i24
ki31 ki31 k i31
ki55 ki55 k i55
kia11 kia11 k ia11
kia55 kia55 k ia55
kiab5 kiab5 k iab5
kiad2 kiad2 k iad2
kiad5 kiad5 k iad5
kiag2 kiag2 k iag2
kiag5 kiag5 k iag5
kiam11 kiam11 k iam11
kiam24 kiam24 k iam24
kiam55 kiam55 k iam55
kian11 kian11 k ian11
kian24 kian24 k ian24
kian31 kian31 k ian31
kian55 kian55 k ian55
kiang11 kiang11 k iang11
kiang24 kiang24 k iang24
kiang55 kiang55 k iang55
kiau11 kiau11 k iau11
kiau24 kiau24 k iau24
kiau31 kiau31 k iau31
kib2 kib2 k ib2
kib5 kib5 k ib5
kid5 kid5 k id5
kie11 kie11 k ie11
kie31 kie31 k ie31
kie55 kie55 k ie55
kieb2 kieb2 k ieb2
kied2 kied2 k ied2
kiem11 kiem11 k iem11
kiem31 kiem31 k iem31
kien31 kien31 k ien31
kieu11 kieu11 k ieu11
kieu24 kieu24 k ieu24
kieu31 kieu31 k ieu31
kieu55 kieu55 k ieu55
kim11 kim11 k im11
kim24 kim24 k im24
kim55 kim55 k im55
kin24 kin24 k in24
kin55 kin55 k in55
kio11 kio11 k io11
kioi55 kioi55 k ioi55
kiong11 kiong11 k iong11
kiong24 kiong24 k iong24
kiong55 kiong55 k iong55
kiu11 kiu11 k iu11
kiu24 kiu24 k iu24
kiu55 kiu55 k iu55
kiug2 kiug2 k iug2
kiug5 kiug5 k iug5
kiun11 kiun11 k iun11
kiun24 kiun24 k iun24
kiun55 kiun55 k iun55
kiung11 kiung11 k iung11
kiung55 kiung55 k iung55
ko11 ko11 k o11
ko24 ko24 k o24
ko31 ko31 k o31
ko55 ko55 k o55
kog2 kog2 k og2
kog5 kog5 k og5
koi24 koi24 k oi24
koi31 koi31 k oi31
kon24 kon24 k on24
kon55 kon55 k on55
kong11 kong11 k ong11
kong24 kong24 k ong24
kong55 kong55 k ong55
ku24 ku24 k u24
ku31 ku31 k u31
ku55 ku55 k u55
kuai55 kuai55 k uai55
kuan11 kuan11 k uan11
kuan24 kuan24 k uan24
kuan31 kuan31 k uan31
kuan55 kuan55 k uan55
kuang55 kuang55 k uang55
kud2 kud2 k ud2
kud5 kud5 k ud5
kui24 kui24 k ui24
kui31 kui31 k ui31
kun24 kun24 k un24
kun31 kun31 k un31
kun55 kun55 k un55
kung24 kung24 k ung24
kung31 kung31 k ung31
la11 la11 l a11
la24 la24 l a24
la31 la31 l a31
la55 la55 l a55
lab2 lab2 l ab2
lab5 lab5 l ab5
lad2 lad2 l ad2
lad5 lad5 l ad5
lag2 lag2 l ag2
lag5 lag5 l ag5
lai11 lai11 l ai11
lai24 lai24 l ai24
lai31 lai31 l ai31
lai55 lai55 l ai55
lam11 lam11 l am11
lam24 lam24 l am24
lam31 lam31 l am31
lam55 lam55 l am55
lan11 lan11 l an11
lan24 lan24 l an24
lan55 lan55 l an55
lang11 lang11 l ang11
lang24 lang24 l ang24
lang55 lang55 l ang55
lau11 lau11 l au11
lau24 lau24 l au24
lau55 lau55 l au55
le11 le11 l e11
le24 le24 l e24
le31 le31 l e31
leb2 leb2 l eb2
led5 led5 l ed5
leu11 leu11 l eu11
leu31 leu31 l eu31
leu55 leu55 l eu55
li11 li11 l i11
li24 li24 l i24
li31 li31 l i31
li55 li55 l i55
lia55 lia55 l ia55
liab2 liab2 l iab2
liab5 liab5 l iab5
liag5 liag5 l iag5
liam11 liam11 l iam11
liam24 liam24 l iam24
liam31 liam31 l iam31
liam55 liam55 l iam55
liang11 liang11 l iang11
liang24 liang24 l iang24
liang31 liang31 l iang31
liang55 liang55 l iang55
liau11 liau11 l iau11
liau24 liau24 l iau24
liau31 liau31 l iau31
liau55 liau55 l iau55
lib2 lib2 l ib2
lib5 lib5 l ib5
lid5 lid5 l id5
lied5 lied5 l ied5
lien11 lien11 l ien11
lien24 lien24 l ien24
lien31 lien31 l ien31
lien55 lien55 l ien55
lim11 lim11 l im11
lim24 lim24 l im24
lim31 lim31 l im31
lin11 lin11 l in11
lin31 lin31 l in31
lin55 lin55 l in55
liog5 liog5 l iog5
lion11 lion11 l ion11
liong11 liong11 l iong11
liong24 liong24 l iong24
liong31 liong31 l iong31
liong55 liong55 l iong55
liu11 liu11 l iu11
liu24 liu24 l iu24
liu31 liu31 l iu31
liu55 liu55 l iu55
liud2 liud2 l iud2
liug2 liug2 l iug2
liug5 liug5 l iug5
liung11 liung11 l iung11
liung24 liung24 l iung24
lo11 lo11 l o11
lo24 lo24 l o24
lo31 lo31 l o31
lo55 lo55 l o55
lod2 lod2 l od2
lod5 lod5 l od5
log2 log2 l og2
log5 log5 l og5
loi11 loi11 l oi11
loi55 loi55 l oi55
lon31 lon31 l on31
lon55 lon55 l on55
long11 long11 l ong11
long24 long24 l ong24
long55 long55 l ong55
lu11 lu11 l u11
lu24 lu24 l u24
lu31 lu31 l u31
lu55 lu55 l u55
lud2 lud2 l ud2
lug2 lug2 l ug2
lug5 lug5 l ug5
lui11 lui11 l ui11
lui24 lui24 l ui24
lui55 lui55 l ui55
lun11 lun11 l un11
lun31 lun31 l un31
lun55 lun55 l un55
lung11 lung11 l ung11
lung24 lung24 l ung24
m11 m11 m11
ma11 ma11 m a11
ma24 ma24 m a24
ma31 ma31 m a31
ma55 ma55 m a55
mad2 mad2 m ad2
mad5 mad5 m ad5
mag2 mag2 m ag2
mag5 mag5 m ag5
mai11 mai11 m ai11
mai24 mai24 m ai24
mai55 mai55 m ai55
man11 man11 m an11
man24 man24 m an24
man31 man31 m an31
man55 man55 m an55
mang11 mang11 m ang11
mang24 mang24 m ang24
mau11 mau11 m au11
mau24 mau24 m au24
mau55 mau55 m au55
me11 me11 m e11
me24 me24 m e24
me31 me31 m e31
me55 me55 m e55
med5 med5 m ed5
men24 men24 m en24
men31 men31 m en31
meu11 meu11 m eu11
meu24 meu24 m eu24
meu31 meu31 m eu31
meu55 meu55 m eu55
mi11 mi11 m i11
mi24 mi24 m i24
mi31 mi31 m i31
mi55 mi55 m i55
mia24 mia24 m ia24
miang11 miang11 m iang11
miang24 miang24 m iang24
miang55 miang55 m iang55
mied2 mied2 m ied2
mied5 mied5 m ied5
mien11 mien11 m ien11
mien24 mien24 m ien24
mien55 mien55 m ien55
min11 min11 m in11
mio24 mio24 m io24
miong11 miong11 m iong11
miong31 miong31 m iong31
mo11 mo11 m o11
mo24 mo24 m o24
mo55 mo55 m o55
mog2 mog2 m og2
mog5 mog5 m og5
moi11 moi11 m oi11
moi31 moi31 m oi31
moi55 moi55 m oi55
mong11 mong11 m ong11
mong31 mong31 m ong31
mong55 mong55 m ong55
mu11 mu11 m u11
mu24 mu24 m u24
mu55 mu55 m u55
mud2 mud2 m ud2
mud5 mud5 m ud5
mug2 mug2 m ug2
mug5 mug5 m ug5
mun11 mun11 m un11
mun24 mun24 m un24
mun55 mun55 m un55
mung11 mung11 m ung11
mung31 mung31 m ung31
mung55 mung55 m ung55
n11 n11 n11
na11 na11 n a11
na24 na24 n a24
na31 na31 n a31
na55 na55 n a55
nab5 nab5 n ab5
nad2 nad2 n ad2
nag2 nag2 n ag2
nag5 nag5 n ag5
nai11 nai11 n ai11
nai24 nai24 n ai24
nai31 nai31 n ai31
nai55 nai55 n ai55
nam11 nam11 n am11
nam31 nam31 n am31
nam55 nam55 n am55
nan11 nan11 n an11
nan24 nan24 n an24
nan55 nan55 n an55
nang11 nang11 n ang11
nang24 nang24 n ang24
nang55 nang55 n ang55
nau24 nau24 n au24
nau55 nau55 n au55
ne11 ne11 n e11
ne24 ne24 n e24
ne31 ne31 n e31
ne55 ne55 n e55
ned2 ned2 n ed2
nem11 nem11 n em11
nem24 nem24 n em24
nem55 nem55 n em55
nen11 nen11 n en11
nen24 nen24 n en24
nen31 nen31 n en31
nen55 nen55 n en55
neu11 neu11 n eu11
neu31 neu31 n eu31
ng11 ng11 ng11
ng31 ng31 ng31
nga11 nga11 ng a11
nga24 nga24 ng a24
nga31 nga31 ng a31
nga55 nga55 ng a55
ngab2 ngab2 ng ab2
ngab5 ngab5 ng ab5
ngad2 ngad2 ng ad2
ngad5 ngad5 ng ad5
ngai11 ngai11 ng ai11
ngai55 ngai55 ng ai55
ngam11 ngam11 ng am11
ngam24 ngam24 ng am24
ngam31 ngam31 ng am31
ngan24 ngan24 ng an24
ngang55 ngang55 ng ang55
ngau11 ngau11 ng au11
ngau24 ngau24 ng au24
ngau55 ngau55 ng au55
ngi11 ngi11 ng i11
ngi24 ngi24 ng i24
ngi31 ngi31 ng i31
ngi55 ngi55 ng i55
ngia11 ngia11 ng ia11
ngia24 ngia24 ng ia24
ngia31 ngia31 ng ia31
ngia55 ngia55 ng ia55
ngiab2 ngiab2 ng iab2
ngiab5 ngiab5 ng iab5
ngiad5 ngiad5 ng iad5
ngiag2 ngiag2 ng iag2
ngiag5 ngiag5 ng iag5
ngiam11 ngiam11 ng iam11
ngiam24 ngiam24 ng iam24
ngiam55 ngiam55 ng iam55
ngian11 ngian11 ng ian11
ngian24 ngian24 ng ian24
ngian31 ngian31 ng ian31
ngian55 ngian55 ng ian55
ngiang11 ngiang11 ng iang11
ngiang55 ngiang55 ng iang55
ngiau31 ngiau31 ng iau31
ngiau55 ngiau55 ng iau55
ngib5 ngib5 ng ib5
ngid2 ngid2 ng id2
ngid5 ngid5 ng id5
ngie55 ngie55 ng ie55
ngied5 ngied5 ng ied5
ngiem55 ngiem55 ng iem55
ngieu31 ngieu31 ng ieu31
ngieu55 ngieu55 ng ieu55
ngim55 ngim55 ng im55
ngin11 ngin11 ng in11
ngin55 ngin55 ng in55
ngio24 ngio24 ng io24
ngiog2 ngiog2 ng iog2
ngiog5 ngiog5 ng iog5
ngion24 ngion24 ng ion24
ngiong11 ngiong11 ng iong11
ngiong31 ngiong31 ng iong31
ngiong55 ngiong55 ng iong55
ngiu11 ngiu11 ng iu11
ngiu31 ngiu31 ng iu31
ngiug2 ngiug2 ng iug2
ngiug5 ngiug5 ng iug5
ngiun11 ngiun11 ng iun11
ngiun24 ngiun24 ng iun24
ngiun55 ngiun55 ng iun55
ngiung55 ngiung55 ng iung55
ngo11 ngo11 ng o11
ngo55 ngo55 ng o55
ngog2 ngog2 ng og2
